OR						BIT_OR
XOR						BIT_XOR
AND						BIT_AND
NOT						BIT_NOT
PLUS_EQUAL				PLUS_EQ
MINUS_EQUAL 			MINUS_EQ
MULTIPLY_EQUAL			MULTIPLY_EQ
MOD_EQUAL				MOD_EQ
CONCAT_EQUAL			DOT_EQ
QUESTION				COND_OP
BOOLEAN_OR				OR_OP
BOOLEAN_AND				AND_OP
BOOLEAN_NOT				NOT
IS_GREATER_OR_EQUAL		GREATER_EQ
IS_SMALLER_OR_EQUAL		LESSER_EQ
SR						BIT_RSHIFT
LR						BIT_LSHIFT
IS_SMALLER				LESSER
IS_GREATER 				GREATER
IS_EQUAL 				EQ_EQ 
IS_NOT_IDENTICAL		NOT_IDENTICAL
PLUS 					PLUS
MINUS 					MINUS
MUL 					MUL
DIV 					DIV
MOD 					MOD
INC 					INC
DEC 					DEC
LBRACKET				LBRACKET
RBRACKET				RBRACKET
SEMI					SEMICOLON
